,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
2577,Number of currently married or in union men,Currently married men,WE_DMKP_M_UNW,,WE_DMKH_M_NUM,,176304070,,,,D,0,Number of currently married men,Women's Empowerment,Participation in decision making: Own health care,Men,Number,0,,WEDMKHMNUM,Number of currently married men,
2578,Percentage of women for whom the decision maker for major household purchases is mainly the respondent,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_WIF,130155001,176333010,WE_DMKP_W_DKM,,WE_DMKP_W_TOT,I,0,Decision maker about Major household purchases: Mainly wife [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWWIF,Major household purchases: Mainly wife,
2579,Percentage of women for whom the decision maker for major household purchases is mainly the respondent and her husband,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_JNT,130155002,176333020,WE_DMKP_W_DKM,,WE_DMKP_W_TOT,I,0,Decision maker about Major household purchases: Wife and husband jointly [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWJNT,Major household purchases: Wife and husband jointly,
2580,Percentage of women for whom the decision maker for major household purchases is mainly the husband,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_HUS,130155004,176333030,WE_DMKP_W_DKM,,WE_DMKP_W_TOT,I,0,Decision maker about Major household purchases: Mainly husband [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWHUS,Major household purchases: Mainly husband,
2581,Percentage of women for whom the decision maker for major household purchases is mainly someone else,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_ELS,130155005,176333040,WE_DMKP_W_DKM,,WE_DMKP_W_TOT,I,0,Decision maker about Major household purchases: Someone else [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWELS,Major household purchases: Someone else,
2582,Percentage of women for whom the decision maker for major household purchases is recorded as 'other',Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_OTH,,176333050,WE_DMKP_W_DKM,,WE_DMKP_W_TOT,I,0,Decision maker about Major household purchases: Other [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWOTH,Major household purchases: Other,
2583,Percentage of women for whom there is don't know or missing information about the decision maker for major household purchases,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_DKM,,176333055,,,,S,0,Decision maker about Major household purchases: don't know or missing [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWDKM,Major household purchases: Missing/DK,
2584,Percentage of women for whom the decision maker for major household purchases is: Total,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKP_W_TOT,130149000,176333060,,,,T,0,Decision maker about Major household purchases: Total [Women],Women's Empowerment,Participation in decision making: Major household purchases,Women,Percent,1,,WEDMKPWTOT,Major household purchases: Total,
2585,Number of currently married or in union women,Currently married women,WE_DMKV_W_UNW,,WE_DMKP_W_NUM,,176333070,,,,D,0,Number of currently married women,Women's Empowerment,Participation in decision making: Major household purchases,Women,Number,0,,WEDMKPWNUM,Number of currently married women,
2586,Percentage of men for whom the decision maker for major household purchases is mainly the respondent,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_WIF,,176334010,WE_DMKP_M_DKM,,WE_DMKP_M_TOT,I,0,Decision maker about Major household purchases: Mainly wife [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMWIF,Major household purchases: Mainly wife,
2587,Percentage of men for whom the decision maker for major household purchases is mainly the respondent and her husband,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_JNT,,176334020,WE_DMKP_M_DKM,,WE_DMKP_M_TOT,I,0,Decision maker about Major household purchases: Wife and husband jointly [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMJNT,Major household purchases: Wife and husband jointly,
2588,Percentage of men for whom the decision maker for major household purchases is mainly the husband,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_HUS,,176334030,WE_DMKP_M_DKM,,WE_DMKP_M_TOT,I,0,Decision maker about Major household purchases: Mainly husband [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMHUS,Major household purchases: Mainly husband,
2589,Percentage of men for whom the decision maker for major household purchases is mainly someone else,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_ELS,,176334040,WE_DMKP_M_DKM,,WE_DMKP_M_TOT,I,0,Decision maker about Major household purchases: Someone else [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMELS,Major household purchases: Someone else,
2590,Percentage of men for whom the decision maker for major household purchases is recorded as 'other',Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_OTH,,176334050,WE_DMKP_M_DKM,,WE_DMKP_M_TOT,I,0,Decision maker about Major household purchases: Other [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMOTH,Major household purchases: Other,
2591,Percentage of men for whom there is don't know or missing information about the decision maker for major household purchases,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_DKM,,176334055,,,,S,0,Decision maker about Major household purchases: don't know or missing [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMDKM,Major household purchases: Missing/DK,
2592,Percentage of men for whom the decision maker for major household purchases is: Total,Currently married men,WE_DMKP_M_UNW,WE_DMKP_M_NUM,WE_DMKP_M_TOT,,176334060,,,,T,0,Decision maker about Major household purchases: Total [Men],Women's Empowerment,Participation in decision making: Major household purchases,Men,Percent,1,,WEDMKPMTOT,Major household purchases: Total,
2593,Number of currently married or in union men,Currently married men,WE_DMKP_M_UNW,,WE_DMKP_M_NUM,,176334070,,,,D,0,Number of currently married men,Women's Empowerment,Participation in decision making: Major household purchases,Men,Number,0,,WEDMKPMNUM,Number of currently married men,
2594,Number of currently married or in union men (unweighted),Currently married men,,WE_DMKP_M_NUM,WE_DMKP_M_UNW,,176334080,,,,U,0,Number of currently married men (unweighted),Women's Empowerment,Participation in decision making: Major household purchases,Men,Number,0,,WEDMKPMUNW,Number of currently married men (unweighted),
2595,Percentage of women for whom the decision maker for visits to her family or relatives is mainly the respondent,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_WIF,130155001,176363010,WE_DMKV_W_DKM,,WE_DMKV_W_TOT,I,0,Decision maker about Visits to her family or relatives: Mainly wife [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWWIF,Visits to her family or relatives: Mainly wife,
2596,Percentage of women for whom the decision maker for visits to her family or relatives is mainly the respondent and her husband,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_JNT,130155002,176363020,WE_DMKV_W_DKM,,WE_DMKV_W_TOT,I,0,Decision maker about Visits to her family or relatives: Wife and husband jointly [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWJNT,Visits to her family or relatives: Wife and husband jointly,
2597,Percentage of women for whom the decision maker for visits to her family or relatives is mainly the husband,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_HUS,130155004,176363030,WE_DMKV_W_DKM,,WE_DMKV_W_TOT,I,0,Decision maker about Visits to her family or relatives: Mainly husband [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWHUS,Visits to her family or relatives: Mainly husband,
2598,Percentage of women for whom the decision maker for visits to her family or relatives is mainly someone else,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_ELS,130155005,176363040,WE_DMKV_W_DKM,,WE_DMKV_W_TOT,I,0,Decision maker about Visits to her family or relatives: Someone else [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWELS,Visits to her family or relatives: Someone else,
2599,Percentage of women for whom the decision maker for visits to her family or relatives is recorded as 'other',Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_OTH,,176363050,WE_DMKV_W_DKM,,WE_DMKV_W_TOT,I,0,Decision maker about Visits to her family or relatives: Other [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWOTH,Visits to her family or relatives: Other,
2600,Percentage of women for whom there is don't know or missing information about the decision maker for visits to her family,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_DKM,,176363055,,,,S,0,Decision maker about Visits to her family or relatives: don't know or missing [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWDKM,Visits to her family or relatives: Missing/DK,
2601,Percentage of women for whom the decision maker for visits to her family or relatives is: Total,Currently married women,WE_DMKV_W_UNW,WE_DMKV_W_NUM,WE_DMKV_W_TOT,130149000,176363060,,,,T,0,Decision maker about Visits to her family or relatives: Total [Women],Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Percent,1,,WEDMKVWTOT,Visits to her family or relatives: Total,
2602,Number of currently married or in union women,Currently married women,WE_DMKV_W_UNW,,WE_DMKV_W_NUM,130149001,176363070,,,,D,0,Number of currently married women,Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Number,0,,WEDMKVWNUM,Number of currently married women,
2603,Number of currently married or in union women (unweighted),Currently married women,,WE_DMKV_W_NUM,WE_DMKV_W_UNW,,176363080,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Participation in decision making: Visits to her family or relatives,Women,Number,0,,WEDMKVWUNW,Number of currently married women (unweighted),
2604,Percentage of women who say that they alone or jointly have the final say in own health care,Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_OHC,131130001,176403010,,,,I,0,Final say in own health care [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWOHC,Woman's own health care,89
2605,Percentage of women who say that they alone or jointly have the final say in making large purchases,Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_MPC,131130002,176403020,,,,I,0,Final say in making large purchases [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWMPC,Making major household purchases,
2606,"Percentage of women who say that they alone or jointly have the final say in visits to family, relatives, friends",Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_FAM,131130004,176403030,,,,I,0,"Final say in visits to family, relatives, friends [Women]",Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWFAM,Visits to her family or relatives,
2607,"Percentage of women who say that they alone or jointly have the final say in all of the three main decisions (own health care, making large purchases, visits to family, relatives, friends)",Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_3DC,131130006,176403040,,,,I,0,Final say in all of the decisions [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKW3DC,All three decisions,82
2608,"Percentage of women who say that they alone or jointly have the final say in none of the three main decisions (own health care, making large purchases, visits to family, relatives, friends)",Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_NON,131130007,176403050,,,,I,0,Final say in none of the decisions [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWNON,None of the three decisions,
2609,Percentage of women who say that they alone or jointly have the final say in making daily purchases,Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_DPC,131130003,176403060,,,,I,0,Final say in making daily purchases [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWDPC,Making major daily purchases,
2610,Percentage of women who say that they alone or jointly have the final say in what food to cook daily,Currently married women,WE_DMAK_W_UNW,WE_DMAK_W_NUM,WE_DMAK_W_CKD,131130005,176403070,,,,I,0,Final say in what food to cook daily [Women],Women's Empowerment,Participation in decision making,Women,Percent,1,,WEDMAKWCKD,Food to cook daily,
2611,Number of currently married or in union women,Currently married women,WE_DMAK_W_UNW,,WE_DMAK_W_NUM,131148000,176403080,,,,D,0,Number of currently married women,Women's Empowerment,Participation in decision making,Women,Number,0,,WEDMAKWNUM,Number of currently married women,
2612,Number of currently married or in union women (unweighted),Currently married women,,WE_DMAK_W_NUM,WE_DMAK_W_UNW,,176403090,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Participation in decision making,Women,Number,0,,WEDMAKWUNW,Number of currently married women (unweighted),
2613,Percentage of men who say that they alone or jointly have the final say in own health care,Currently married men,WE_DMAK_M_UNW,WE_DMAK_M_NUM,WE_DMAK_M_OHC,,176404100,,,,I,0,Final say in own health care [Men],Women's Empowerment,Participation in decision making,Men,Percent,1,,WEDMAKMOHC,Man's own health care,89
2614,Percentage of men who say that they alone or jointly have the final say in making large purchases,Currently married men,WE_DMAK_M_UNW,WE_DMAK_M_NUM,WE_DMAK_M_MPC,,176404110,,,,I,0,Final say in making large purchases [Men],Women's Empowerment,Participation in decision making,Men,Percent,1,,WEDMAKMMPC,Making major household purchases,
2615,Percentage of men who say that they alone or jointly have the final say in both of the decisions,Currently married men,WE_DMAK_M_UNW,WE_DMAK_M_NUM,WE_DMAK_M_2DC,,176404120,,,,I,0,Final say in both of the decisions [Men],Women's Empowerment,Participation in decision making,Men,Percent,1,,WEDMAKM2DC,Both decisions,
2616,Percentage of men who say that they alone or jointly have the final say in none of the decisions,Currently married men,WE_DMAK_M_UNW,WE_DMAK_M_NUM,WE_DMAK_M_NON,,176404130,,,,I,0,Final say in none of the decisions [Men],Women's Empowerment,Participation in decision making,Men,Percent,1,,WEDMAKMNON,Neither of the two decisions,
2617,Number of currently married or in union men,Currently married men,WE_DMAK_M_UNW,,WE_DMAK_M_NUM,,176404140,,,,D,0,Number of currently married men,Women's Empowerment,Participation in decision making,Men,Number,0,,WEDMAKMNUM,Number of currently married men,
2618,Number of currently married or in union men (unweighted),Currently married men,,WE_DMAK_M_NUM,WE_DMAK_M_UNW,,176404150,,,,U,0,Number of currently married men (unweighted),Women's Empowerment,Participation in decision making,Men,Number,0,,WEDMAKMUNW,Number of currently married men (unweighted),
2619,Percentage of women who agree that a husband is justified in hitting or beating his wife if she burns the food,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_BFD,132131001,176433010,,,,I,0,Wife beating justified if she burns the food [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWBFD,Burns the food,
2620,Percentage of women who agree that a husband is justified in hitting or beating his wife if she argues with him,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_ARG,132131002,176433020,,,,I,0,Wife beating justified if she argues with him [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWARG,Argues with him,
2621,Percentage of women who agree that a husband is justified in hitting or beating his wife if she goes out without telling him,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_OUT,132131003,176433030,,,,I,0,Wife beating justified if she goes out without telling him [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWOUT,Goes out without telling him,
2622,Percentage of women who agree that a husband is justified in hitting or beating his wife if she neglects the children,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_NEG,132131004,176433040,,,,I,0,Wife beating justified if she neglects the children [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWNEG,Neglects the children,
2623,Percentage of women who agree that a husband is justified in hitting or beating his wife if she refuses to have sex with him,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_REF,132131005,176433050,,,,I,0,Wife beating justified if she refuses to have sex with him [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWREF,Refuses to have sexual intercourse with him,
2624,Percentage of women who agree that a husband is justified in hitting or beating his wife for at least one specific reason,Women interviewed,WE_AWBT_W_UNW,WE_AWBT_W_NUM,WE_AWBT_W_AGR,,176433060,,,,I,0,Wife beating justified for at least one specific reason [Women],Women's Empowerment,Attitude toward wife beating,Women,Percent,1,,WEAWBTWAGR,Agree with at least one specified reason,"77, 7, 82"
2625,Number of currently married or in union women,Women interviewed,WE_AWBT_W_UNW,,WE_AWBT_W_NUM,132148000,176433070,,,,D,0,Number of currently married women,Women's Empowerment,Attitude toward wife beating,Women,Number,0,,WEAWBTWNUM,Number of currently married women,
2626,Number of currently married or in union women (unweighted),Women interviewed,,WE_AWBT_W_NUM,WE_AWBT_W_UNW,,176433080,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Attitude toward wife beating,Women,Number,0,,WEAWBTWUNW,Number of currently married women (unweighted),
2627,Percentage of men who agree that a husband is justified in hitting or beating his wife if she burns the food,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_BFD,,176434010,,,,I,0,Wife beating justified if she burns the food [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMBFD,Burns the food,
2628,Percentage of men who agree that a husband is justified in hitting or beating his wife if she argues with him,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_ARG,,176434020,,,,I,0,Wife beating justified if she argues with him [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMARG,Argues with him,
2629,Percentage of men who agree that a husband is justified in hitting or beating his wife if she goes out without telling him,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_OUT,,176434030,,,,I,0,Wife beating justified if she goes out without telling him [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMOUT,Goes out without telling him,
2630,Percentage of men who agree that a husband is justified in hitting or beating his wife if she neglects the children,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_NEG,,176434040,,,,I,0,Wife beating justified if she neglects the children [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMNEG,Neglects the children,
2631,Percentage of men who agree that a husband is justified in hitting or beating his wife if she refuses to have sex with him,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_REF,,176434050,,,,I,0,Wife beating justified if she refuses to have sex with him [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMREF,Refuses to have sexual intercourse with him,
2632,Percentage of men who agree that a husband is justified in hitting or beating his wife for at least one specific reason,Men interviewed,WE_AWBT_M_UNW,WE_AWBT_M_NUM,WE_AWBT_M_AGR,,176434060,,,,I,0,Wife beating justified for at least one specific reason [Men],Women's Empowerment,Attitude toward wife beating,Men,Percent,1,,WEAWBTMAGR,Agree with at least one specified reason,"77, 82"
2633,Number of currently married or in union men,Men interviewed,WE_AWBT_M_UNW,,WE_AWBT_M_NUM,,176434070,,,,D,0,Number of currently married men,Women's Empowerment,Attitude toward wife beating,Men,Number,0,,WEAWBTMNUM,Number of currently married men,
2634,Number of currently married or in union men (unweighted),Men interviewed,,WE_AWBT_M_NUM,WE_AWBT_M_UNW,,176434080,,,,U,0,Number of currently married men (unweighted),Women's Empowerment,Attitude toward wife beating,Men,Number,0,,WEAWBTMUNW,Number of currently married men (unweighted),
2635,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she knows husband has sexually transmitted disease,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_STI,133132001,176463010,,,,I,0,Justified in refusing sex if she knows husband has sexually transmitted disease,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWSTI,Justified in refusing sex if she knows husband has sexually transmitted disease,
2636,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she knows husband has sex with other women,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_SEX,133132002,176463020,,,,I,0,Justified in refusing sex if she knows husband has sex with other women,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWSEX,Justified in refusing sex if she knows husband has sex with other women,
2637,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she has recently given birth,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_BTH,133132003,176463030,,,,I,0,Justified in refusing sex if she has recently given birth,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWBTH,Justified in refusing sex if she has recently given birth,
2638,Percentage of women who believe that a wife is justified in refusing to have sex with her husband if she is tired or not in the mood,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_TRD,133132004,176463040,,,,I,0,Justified in refusing sex if she is tired or not in the mood,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWTRD,Justified in refusing sex if she is tired or not in the mood,
2639,Percentage of women who believe that a wife is justified in refusing to have sex with her husband for all of the reasons,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_ALL,133133001,176463060,,,,I,0,Justified in refusing sex for all of the reasons,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWALL,Justified in refusing sex for all of the reasons,
2640,Percentage of women who believe that a wife is justified in refusing to have sex with her husband for none of the reasons,Women interviewed,WE_AWBT_W_UNW,WE_JRSX_W_NUM,WE_JRSX_W_NON,133133002,176463070,,,,I,0,Justified in refusing sex for none of the reasons,Women's Empowerment,Justified in refusing sex,Women,Percent,1,,WEJRSXWNON,Justified in refusing sex for none of the reasons,
2641,Number of currently married or in union women,Women interviewed,WE_AWBT_W_UNW,,WE_JRSX_W_NUM,133148000,176463080,,,,D,0,Number of currently married women,Women's Empowerment,Justified in refusing sex,Women,Number,0,,WEJRSXWNUM,Number of currently married women,
2642,Number of currently married or in union women (unweighted),Women interviewed,,WE_JRSX_W_NUM,WE_JRSX_W_UNW,,176463090,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Justified in refusing sex,Women,Number,0,,WEJRSXWUNW,Number of currently married women (unweighted),
2643,"Percentage of currently married or in union women participating in decision making for their own health care, for major household purchases, and for visits to her family or relatives",Currently married women,WE_WEMP_W_UN1,WE_WEMP_W_NM1,WE_WEMP_W_DMK,,176503010,,,,I,0,Married women participating in all three decisions,Women's Empowerment,Indicators of women's empowerment,Women,Percent,1,,WEWEMPWDMK,Participate in all decision making,77
2644,Number of currently married or in union women,Currently married women,WE_WEMP_W_UN1,,WE_WEMP_W_NM1,,176503015,,,,D,0,Number of currently married women,Women's Empowerment,Indicators of women's empowerment,Women,Number,0,,WEWEMPWNM1,Number of currently married women,
2645,Number of currently married or in union women (unweighted),Currently married women,,WE_WEMP_W_NM1,WE_WEMP_W_UN1,,176503017,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Indicators of women's empowerment,Women,Number,0,,WEWEMPWUN1,Number of currently married women (unweighted),
2646,Percentage of currently married or in union women who disagree with all the reasons justifying wife beating,Currently married women,WE_WEMP_W_UN2,WE_WEMP_W_NM2,WE_WEMP_W_DWB,,176503020,,,,I,0,Married women who disagree with all the reasons justifying wife beating,Women's Empowerment,Indicators of women's empowerment,Women,Percent,1,,WEWEMPWDWB,Disagree with all the reasons justifying wife beating,77
2647,Number of currently married or in union women,Currently married women,WE_WEMP_W_UN2,,WE_WEMP_W_NM2,,176503030,,,,D,0,Number of currently married women,Women's Empowerment,Indicators of women's empowerment,Women,Number,0,,WEWEMPWNM2,Number of currently married women,
2648,Number of currently married or in union women (unweighted),Currently married women,,WE_WEMP_W_NM2,WE_WEMP_W_UN2,,176503040,,,,U,0,Number of currently married women (unweighted),Women's Empowerment,Indicators of women's empowerment,Women,Number,0,,WEWEMPWUN2,Number of currently married women (unweighted),
2649,Percentage of currently married women who are not pregnant who make their own decisions regarding sexual relations,Currently married women who are not pregnant,WE_IDMH_W_UNW,WE_IDMH_W_NUM,WE_IDMH_W_RSX,,176643010,,,,I,0,Own decision making about sexual relations,Women's Empowerment,Informed decision making for reproductive health,Women,Percent,1,,WEIDMHWRSX,Sexual relations,
2650,Percentage of currently married women who are not pregnant who make their own decisions regarding contraceptive use,Currently married women who are not pregnant,WE_IDMH_W_UNW,WE_IDMH_W_NUM,WE_IDMH_W_CUS,,176643020,,,,I,0,Own decision making about contraceptive use,Women's Empowerment,Informed decision making for reproductive health,Women,Percent,1,,WEIDMHWCUS,Contraceptive use,
2651,Percentage of currently married women who are not pregnant who make their own decisions regarding health care,Currently married women who are not pregnant,WE_IDMH_W_UNW,WE_IDMH_W_NUM,WE_IDMH_W_HLC,,176643030,,,,I,0,Own decision making about health care,Women's Empowerment,Informed decision making for reproductive health,Women,Percent,1,,WEIDMHWHLC,Health care,
2652,"Percentage of currently married women who are not pregnant who make their own decisions regarding all three decisions (sexual relations, contraceptive use, and health care)",Currently married women who are not pregnant,WE_IDMH_W_UNW,WE_IDMH_W_NUM,WE_IDMH_W_RCH,,176643040,,,,I,0,Own decision making about all three decisions,Women's Empowerment,Informed decision making for reproductive health,Women,Percent,1,,WEIDMHWRCH,All three decisions,
2653,Number of currently married women who are not pregnant,Currently married women who are not pregnant,WE_IDMH_W_UNW,,WE_IDMH_W_NUM,,176643050,,,,D,0,Number of women,Women's Empowerment,Informed decision making for reproductive health,Women,Number,0,,WEIDMHWNUM,Number of women,
2654,Number of currently married women who are not pregnant (unweighted),Currently married women who are not pregnant,,WE_IDMH_W_NUM,WE_IDMH_W_UNW,,176643060,,,,U,0,Number of women (unweighted),Women's Empowerment,Informed decision making for reproductive health,Women,Number,0,,WEIDMHWUNW,Number of women (unweighted),
2655,Percentage of women who have ever heard of female circumcision,Women interviewed,FG_KFCC_W_UNW,FG_KFCC_W_NUM,FG_KFCC_W_HFC,,187463010,,,,I,0,Ever heard of female circumcision (women),Female Genital Cutting,Knowledge of female circumcision,Women,Percent,1,,FGKFCCWHFC,Heard of female circumcision,
2656,Number of women,Women interviewed,FG_KFCC_W_UNW,,FG_KFCC_W_NUM,,187463020,,,,D,0,Number of women,Female Genital Cutting,Knowledge of female circumcision,Women,Number,0,,FGKFCCWNUM,Number of women,
2657,Number of women (unweighted),Women interviewed,,FG_KFCC_W_NUM,FG_KFCC_W_UNW,,187463030,,,,U,0,Number of women (unweighted),Female Genital Cutting,Knowledge of female circumcision,Women,Number,0,,FGKFCCWUNW,Number of women (unweighted),
2658,Percentage of men who have ever heard of female circumcision,Men interviewed,FG_KFCC_M_UNW,FG_KFCC_M_NUM,FG_KFCC_M_HFC,,187464040,,,,I,0,Ever heard of female circumcision (men),Female Genital Cutting,Knowledge of female circumcision,Men,Percent,1,,FGKFCCMHFC,Heard of female circumcision,
2659,Number of men,Men interviewed,FG_KFCC_M_UNW,,FG_KFCC_M_NUM,,187464050,,,,D,0,Number of men,Female Genital Cutting,Knowledge of female circumcision,Men,Number,0,,FGKFCCMNUM,Number of men,
2660,Number of men (unweighted),Men interviewed,,FG_KFCC_M_NUM,FG_KFCC_M_UNW,,187464060,,,,U,0,Number of men (unweighted),Female Genital Cutting,Knowledge of female circumcision,Men,Number,0,,FGKFCCMUNW,Number of men (unweighted),
2661,Percentage of women circumcised (women who experienced female genital cutting (FGM)),Women interviewed,FG_PFCC_W_UNW,FG_PFCC_W_NUM,FG_PFCC_W_WCC,,187503010,,,,I,1,Women circumcised (FGC),Female Genital Cutting,Prevalence of female circumcision,Women,Percent,1,240,FGPFCCWWCC,Women circumcised (FGC),"77, 7, 0, 82, 80"
